Occupation;Age;Subscriptions;Already went to karaoke;Lead Source;Total Visits;Total Time Spent on Website;Page Views Per Visit;Converted
Business;30-40;;Yes;Google;17;409;8.5;0
Business;30-40;None;Yes;LaNoche.com;11;685;5.5;0
Business;40+;None;Yes;Google;4;213;4;0
Business;30-40;;Yes;Facebook;0;0;0;0
Business;18-30;Both;Yes;Google;7;1468;3.5;1
;;;Yes;Facebook;0;0;0;0
Law;18-30;Netflix;Yes;Direct Traffic;4;1435;4;1
Business;30-40;Netflix;Yes;Google;1;157;1;1
Business;18-30;Both;Yes;Google;3;885;1.5;1
Business;18-30;Spotify;Yes;Facebook;0;0;0;1
Business;40+;Spotify;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Facebook;0;0;0;0
Business;18-30;None;Yes;Direct Traffic;1;1710;1;0
Business;30-40;;Yes;Direct Traffic;4;219;4;0
Business;30-40;None;No;LaNoche.com;3;111;3;0
Business;30-40;None;Yes;Google;6;224;6;0
;;;Yes;Direct Traffic;5;224;1.67;0
Business;30-40;None;Yes;Direct Traffic;2;1071;2;1
Law;18-30;Spotify;Yes;Google;6;595;3;1
Business;30-40;;Yes;Google;;1096;;1
Business;30-40;;Yes;LaNoche.com;4;520;4;0
Law;18-30;Spotify;Yes;Google;;705;;1
Business;40+;None;Yes;Google;2;393;2;0
Business;30-40;;Yes;Google;;346;;1
Law;18-30;Netflix;Yes;Facebook;0;0;0;1
;;;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;Yes;Google;3;1136;3;1
Business;30-40;;Yes;LaNoche.com;3;335;3;0
Business;30-40;;Yes;LaNoche.com;4;75;4;0
;;;Yes;Direct Traffic;6;97;3;0
Business;35-50;Both;Yes;Google;;1007;;1
Business;30-40;;Yes;Google;2;1085;2;0
Business;30-40;;Yes;Google;3;214;3;0
Business;30-40;;Yes;Facebook;6;1158;1.5;1
;;;Yes;Google;4;101;4;0
;;;Yes;Google;9;838;4.5;0
Business;30-40;None;Yes;Direct Traffic;3;536;3;0
Business;30-40;None;Yes;Direct Traffic;4;161;2;0
Business;30-40;;Yes;Google;2;511;2;0
Business;30-40;;Yes;Facebook;0;0;0;0
Law;18-30;Netflix;Yes;Google;5;1110;5;1
Business;18-30;Both;Yes;Direct Traffic;5;1563;5;1
Business;30-40;;Yes;LaNoche.com;7;1633;3.5;0
Business;30-40;;Yes;Facebook;0;0;0;1
;;;Yes;Google;12;809;4;0
Business;30-40;;Yes;Direct Traffic;2;638;2;0
Business;30-40;;Yes;Google;5;1196;5;1
Business;30-40;;Yes;Google;6;1485;6;0
;;;Yes;Google;9;125;3;0
Business;30-40;;Yes;Google;3;165;3;1
;;;Yes;Google;6;398;3;0
;;;Yes;Google;3;570;3;0
Business;35-50;Netflix;Yes;Google;6;895;6;1
Business;30-40;Netflix;Yes;Google;4;1190;4;1
Law;18-30;Both;Yes;Google;0;0;0;1
Business;30-40;;Yes;Direct Traffic;5;1566;5;0
Business;35-50;Both;Yes;Google;5;727;5;1
Business;30-40;;Yes;Google;8;652;4;0
;;;Yes;Google;4;1248;1.33;0
Business;35-50;None;Yes;Google;2;767;2;0
Business;30-40;;Yes;LaNoche.com;10;275;3.33;0
Business;30-40;;Yes;Google;3;273;3;0
Law;18-30;Spotify;Yes;Google;;1111;;1
;;;Yes;Google;8;277;4;0
Business;30-40;;Yes;Google;3;1207;1.5;1
;;;Yes;Google;2;39;1;0
Business;30-40;None;Yes;Google;4;1638;4;0
;;;Yes;LaNoche.com;16;53;16;0
Business;30-40;;Yes;Direct Traffic;1;127;1;0
Business;30-40;;No;Google;5;100;5;0
;;;No;Google;4;323;4;0
Business;30-40;;Yes;Google;2;160;1;1
Politics;18-30;Both;Yes;Google;0;0;0;1
Business;40+;None;Yes;Google;1;263;1;0
Business;30-40;;Yes;Google;2;1218;2;0
Law;18-30;Both;Yes;Google;;986;;1
Business;30-40;;Yes;Google;;889;;1
Business;18-30;Both;Yes;Google;5;1091;5;1
;;;Yes;Direct Traffic;4;291;4;0
Business;18-30;Both;Yes;Google;0;0;0;1
Business;30-40;;No;Google;1;1759;1;0
;;;Yes;LaNoche.com;7;41;3.5;0
Business;30-40;;Yes;Google;5;386;5;0
;;;Yes;LaNoche.com;6;216;2;0
Business;18-30;Both;Yes;Google;5;1603;5;1
;;;Yes;Google;7;106;3.5;0
Business;30-40;None;Yes;Google;2;73;2;0
Business;30-40;;Yes;Google;2;77;2;0
;;;Yes;Direct Traffic;3;718;3;0
;;;Yes;Google;5;432;1.67;0
Business;40+;Netflix;Yes;Google;5;232;2.5;0
Business;30-40;;Yes;Direct Traffic;2;702;2;0
Business;18-30;Spotify;Yes;Google;5;614;5;1
;;;Yes;Direct Traffic;1;1808;1;1
Business;30-40;None;No;Direct Traffic;2;234;1;0
Business;30-40;Netflix;Yes;Direct Traffic;3;245;3;0
Business;30-40;;Yes;Google;8;1268;4;1
Business;30-40;;Yes;Google;2;56;2;0
Business;30-40;;Yes;LaNoche.com;4;174;2;0
Business;30-40;;Yes;Direct Traffic;4;1149;2;0
;;;Yes;Direct Traffic;2;333;2;0
Business;30-40;;Yes;Google;7;471;2.33;0
Business;30-40;Netflix;Yes;Direct Traffic;3;1010;3;1
Business;18-30;Both;Yes;Facebook;10;1815;3.33;1
Business;30-40;;Yes;Direct Traffic;2;47;2;0
Business;30-40;Netflix;Yes;Direct Traffic;3;1528;1.5;1
Business;18-30;Both;Yes;Google;6;919;6;1
Business;30-40;;Yes;Google;10;194;5;0
Business;30-40;;Yes;Google;1;1173;1;0
Business;30-40;Netflix;Yes;Google;2;351;2;0
;;;Yes;LaNoche.com;12;493;12;0
Business;30-40;None;Yes;Direct Traffic;3;381;1.5;0
;;;Yes;LaNoche.com;2;1944;2;0
Business;30-40;Netflix;Yes;Google;5;65;5;0
;;;Yes;Google;7;1334;7;0
;;;Yes;Google;7;615;7;0
Law;18-30;Spotify;Yes;Google;0;0;0;1
Business;30-40;;Yes;Google;1;250;1;0
;;;Yes;Direct Traffic;2;383;2;0
Business;18-30;Spotify;Yes;Google;;1240;;1
Law;18-30;Netflix;Yes;Google;0;0;0;1
Business;30-40;;Yes;Google;;458;;1
Business;30-40;;Yes;Google;;1060;;1
Business;30-40;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;LaNoche.com;4;904;4;0
;;;Yes;Google;1;164;1;0
Business;30-40;;Yes;Google;2;1793;2;0
Business;30-40;;Yes;Google;5;1841;5;0
Business;18-30;Netflix;Yes;Google;8;877;2.67;1
Business;18-30;Both;Yes;Google;0;0;0;1
Business;30-40;Netflix;Yes;Google;12;1411;6;1
Business;18-30;Spotify;Yes;Google;6;385;6;1
;;;Yes;Facebook;0;0;0;0
;;;Yes;Google;12;68;1.71;0
;;;Yes;Facebook;0;0;0;0
;;;Yes;Google;3;192;3;0
;;;Yes;Google;5;309;5;0
Business;30-40;Netflix;Yes;Google;;785;;1
Business;30-40;;Yes;Google;4;342;4;0
Business;30-40;;Yes;Google;2;78;1;0
;;;Yes;Facebook;0;0;0;0
;;;Yes;Facebook;0;0;0;0
Business;18-30;Spotify;Yes;Google;5;1234;1.67;1
Business;30-40;None;Yes;Google;8;14;8;0
Business;30-40;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;LaNoche.com;4;77;4;0
Business;30-40;;Yes;LaNoche.com;3;1299;3;1
Business;18-30;Both;Yes;Google;0;0;0;1
Business;30-40;;Yes;LaNoche.com;2;457;2;0
Business;30-40;None;Yes;Google;5;358;5;0
;;;Yes;Direct Traffic;3;481;3;0
Business;30-40;;Yes;Direct Traffic;2;205;2;0
Business;30-40;Netflix;Yes;Direct Traffic;1;1106;1;1
Business;30-40;Netflix;Yes;Direct Traffic;9;1953;1.8;1
Business;18-30;Both;Yes;Google;;1070;;1
Business;30-40;Netflix;Yes;Google;0;0;0;1
;;;Yes;Google;5;207;2.5;0
Business;30-40;Netflix;Yes;Direct Traffic;2;1587;2;1
Business;30-40;None;Yes;Direct Traffic;2;1509;2;1
Business;30-40;Netflix;Yes;Google;4;331;4;0
Business;30-40;;Yes;Direct Traffic;4;187;4;0
Business;30-40;Netflix;Yes;Google;3;1407;1.5;1
Law;35-50;Both;Yes;Google;0;0;0;1
Business;40+;Netflix;Yes;Google;1;123;1;0
Business;30-40;;Yes;Google;1;100;1;0
Business;30-40;Netflix;Yes;Direct Traffic;9;1164;4.5;1
;;;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;Yes;Direct Traffic;1;1362;1;1
;;;Yes;Direct Traffic;7;1051;3.5;0
Business;30-40;;Yes;Google;2;1816;2;0
Business;30-40;None;Yes;Direct Traffic;7;74;2.33;0
Business;30-40;None;Yes;Google;13;54;6.5;0
;;;Yes;Direct Traffic;3;1183;3;1
Business;40+;None;Yes;Direct Traffic;3;66;3;0
;;;Yes;Facebook;3;1122;1.5;0
Business;30-40;Netflix;Yes;Google;6;135;6;0
;;;Yes;Direct Traffic;9;307;1.8;0
Business;30-40;Netflix;Yes;Google;12;28;6;0
Business;30-40;;Yes;Facebook;0;0;0;0
;;;Yes;Google;5;306;5;0
Business;30-40;Spotify;Yes;Direct Traffic;7;116;7;1
Business;30-40;None;Yes;Direct Traffic;2;1054;2;0
Business;30-40;Netflix;Yes;Google;3;195;3;1
;;;Yes;Facebook;0;0;0;0
Law;30-40;Netflix;Yes;Google;3;732;3;1
Business;30-40;;Yes;Facebook;7;1130;2.33;0
Business;30-40;None;Yes;Google;13;594;4.33;0
;;;Yes;Google;5;1117;5;0
Business;30-40;Netflix;Yes;LaNoche.com;14;354;14;0
Business;30-40;Netflix;Yes;Google;3;217;3;0
Business;30-40;;Yes;Facebook;0;0;0;0
Business;18-30;Both;Yes;Direct Traffic;5;1837;2.5;1
;;;Yes;Google;1;302;1;0
;;;Yes;Google;6;32;6;0
Business;30-40;None;Yes;Direct Traffic;1;1226;1;0
;;;Yes;Google;4;144;4;0
Business;30-40;;Yes;Google;2;631;1;1
Business;18-30;Spotify;Yes;Direct Traffic;1;891;1;1
Business;30-40;;Yes;Facebook;0;0;0;0
;;;Yes;Google;3;235;3;0
;;;Yes;Google;2;453;2;0
Business;30-40;;Yes;LaNoche.com;3;60;1.5;0
Business;30-40;;Yes;Google;0;0;0;1
Business;30-40;;Yes;Google;9;96;4.5;0
Business;30-40;;Yes;Google;0;0;0;1
;;;Yes;Facebook;0;0;0;0
Law;18-30;Spotify;Yes;LaNoche.com;11;825;11;1
;;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Direct Traffic;11;10;5.5;0
Business;30-40;Netflix;Yes;Google;;1704;;1
Business;30-40;;Yes;Google;3;1154;1;1
Business;18-30;Both;Yes;Google;;1262;;1
Law;18-30;Netflix;Yes;Google;0;0;0;1
Business;30-40;;Yes;LaNoche.com;6;104;3;1
;;;Yes;Google;3;331;3;0
Business;30-40;None;Yes;Google;5;294;2.5;0
;;;Yes;Google;5;345;5;0
;;;Yes;Google;2;172;2;0
Business;18-30;Spotify;Yes;Google;4;228;4;1
;;;Yes;Google;5;26;5;0
;;;Yes;Facebook;0;0;0;0
;;;Yes;LaNoche.com;4;436;4;0
;;;Yes;Google;5;1008;5;0
Business;30-40;Netflix;Yes;LaNoche.com;17;71;3.4;0
Business;40+;Netflix;Yes;Google;8;43;8;0
Business;30-40;None;Yes;Google;4;294;4;0
;;;Yes;Google;2;1528;1;0
;;;Yes;Facebook;0;0;0;0
;;;Yes;Facebook;0;0;0;0
Business;40+;None;Yes;LaNoche.com;1;213;1;0
Law;18-30;Netflix;Yes;Google;4;31;1.33;1
;;;Yes;Google;3;389;3;0
;;;Yes;Facebook;0;0;0;0
;;;Yes;Google;4;97;4;0
;;;Yes;Direct Traffic;13;194;13;0
Business;18-30;None;Yes;Direct Traffic;2;526;2;1
;;;Yes;Google;10;11;10;0
;;;Yes;Google;5;297;2.5;0
Business;30-40;None;Yes;Direct Traffic;4;174;4;0
Business;30-40;Netflix;Yes;Google;4;12;4;0
Business;30-40;;Yes;Direct Traffic;5;254;1.25;1
Business;18-30;Spotify;Yes;Google;;803;;1
;;;Yes;Facebook;0;0;0;0
Business;30-40;None;Yes;Google;4;595;4;1
;;;Yes;LaNoche.com;7;250;2.33;0
Business;30-40;None;Yes;Google;11;1189;11;0
Business;30-40;Netflix;Yes;Google;5;73;5;0
Law;18-30;Spotify;Yes;Direct Traffic;3;491;3;0
Business;30-40;Netflix;No;Google;7;1281;1.75;0
Business;30-40;Netflix;Yes;Google;3;117;3;1
;;;Yes;Google;5;1493;1.67;0
Business;30-40;Netflix;Yes;Google;5;263;2.5;1
;;;Yes;Google;7;207;3.5;0
Business;30-40;None;Yes;Google;4;67;4;0
Business;30-40;;Yes;LaNoche.com;6;866;3;0
Business;30-40;None;Yes;Google;6;419;6;0
;;;Yes;Google;11;188;5.5;0
Business;30-40;;Yes;Google;2;362;2;0
Business;30-40;Netflix;Yes;Google;3;199;3;0
Business;30-40;Netflix;Yes;Google;10;556;5;1
Law;18-30;Spotify;Yes;LaNoche.com;5;1536;5;1
Law;18-30;Both;Yes;Google;4;1088;4;1
Business;18-30;Spotify;Yes;LaNoche.com;6;863;6;1
Business;30-40;;No;Direct Traffic;4;1410;4;0
;;;No;Google;8;76;8;0
;;;Yes;Facebook;0;0;0;0
Business;30-40;None;Yes;Direct Traffic;6;209;3;0
Business;30-40;None;Yes;Google;5;58;5;0
Business;30-40;None;Yes;Google;6;90;2;0
Business;18-30;Netflix;Yes;Google;7;950;2.33;1
Business;18-30;Spotify;Yes;Facebook;0;0;0;0
;;;Yes;Google;8;149;2;0
Business;30-40;None;Yes;Direct Traffic;4;3;4;0
Business;18-30;Spotify;Yes;Direct Traffic;7;901;7;1
Business;30-40;;Yes;Facebook;0;0;0;0
;;;Yes;LaNoche.com;6;110;3;0
;;;Yes;Facebook;0;0;0;0
Business;18-30;Both;Yes;Google;0;0;0;1
Business;30-40;;Yes;Google;3;445;3;0
Business;30-40;None;Yes;Google;7;1939;2.33;0
Business;30-40;;Yes;Facebook;0;0;0;0
Business;18-30;Spotify;Yes;Google;3;199;1.5;0
;;;Yes;Direct Traffic;1;633;1;0
;;;Yes;Google;4;457;2;0
;;;Yes;LaNoche.com;4;86;4;0
;;;Yes;Google;7;57;2.33;0
Business;30-40;;Yes;Facebook;0;0;0;0
Business;30-40;Spotify;Yes;Google;21;1113;2.63;1
;;;Yes;LaNoche.com;4;237;4;0
Business;18-30;;Yes;Google;2;43;2;0
Business;18-30;;Yes;Google;;43;;1
Business;30-40;;Yes;Facebook;0;0;0;0
Business;35-50;Both;Yes;Google;0;0;0;1
Business;30-40;;Yes;Facebook;0;0;0;0
;;;Yes;Google;2;1366;2;0
Business;18-30;Spotify;Yes;Google;0;0;0;1
;;;Yes;Google;3;124;3;0
;;;Yes;Google;2;135;2;0
Law;30-40;Netflix;Yes;LaNoche.com;5;1216;2.5;1
Business;30-40;;Yes;Direct Traffic;3;35;3;0
Business;18-30;Spotify;Yes;Facebook;0;0;0;1
;;;Yes;Google;4;157;4;0
Business;40+;None;Yes;Facebook;0;0;0;0
;;;Yes;LaNoche.com;3;170;1.5;0
;;;Yes;Google;4;71;4;0
;;;Yes;Google;5;811;5;0
Law;18-30;Spotify;Yes;Google;;972;;1
;;;Yes;LaNoche.com;10;278;5;0
;;;Yes;Facebook;0;0;0;0
;;;Yes;LaNoche.com;5;809;5;0
;;;Yes;Facebook;0;0;0;0
Business;18-30;Spotify;Yes;Google;;781;;1
Business;18-30;Spotify;Yes;Google;4;1226;4;1
;;;Yes;Google;5;1469;2.5;0
;;;Yes;LaNoche.com;5;253;1.67;0
Business;35-50;Both;Yes;Google;0;0;0;1
Business;30-40;Netflix;Yes;Google;4;1378;4;1
Business;30-40;None;Yes;LaNoche.com;10;66;10;0
;;;Yes;Google;4;372;4;0
;;;Yes;Google;3;1636;1.5;1
;;;Yes;Google;2;376;2;0
Business;30-40;;Yes;Google;1;214;1;1
;;;Yes;Facebook;0;0;0;0
;;;No;Facebook;0;0;0;0
;;;Yes;Google;8;93;8;0
;;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Direct Traffic;3;365;3;0
Business;30-40;Netflix;Yes;Google;6;274;2;1
;;;Yes;LaNoche.com;4;179;4;0
Business;30-40;Netflix;Yes;Google;15;753;15;0
;;;Yes;Direct Traffic;3;1346;3;0
;;;Yes;Google;7;277;3.5;0
;;;Yes;Google;2;90;2;0
Business;30-40;;Yes;Facebook;0;0;0;0
Law;18-30;Both;Yes;Google;9;1289;2.25;1
;;;Yes;LaNoche.com;8;246;2.67;0
;;;Yes;Google;11;116;3.67;0
;;;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;Yes;Google;5;472;5;1
;;;Yes;Google;2;395;1;0
;;;Yes;Facebook;0;0;0;0
;;;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;No;Direct Traffic;4;1354;4;0
Business;30-40;Spotify;Yes;Google;5;1102;5;1
Business;30-40;;Yes;Facebook;0;0;0;0
Business;30-40;None;Yes;Google;2;1268;2;0
Business;30-40;Netflix;Yes;Google;5;1354;2.5;1
Business;30-40;Netflix;Yes;LaNoche.com;3;1561;1.5;1
Business;18-30;Both;Yes;Google;10;1128;1.43;1
Business;30-40;None;Yes;Google;4;1341;2;1
;;;Yes;Google;2;250;2;0
Business;30-40;Netflix;Yes;Google;2;250;2;0
;;;Yes;Google;2;248;2;0
Business;30-40;None;No;Direct Traffic;2;402;2;0
Business;30-40;None;Yes;LaNoche.com;1;235;1;0
Business;30-40;None;Yes;Google;6;125;3;0
Business;30-40;None;Yes;Google;2;236;2;0
Business;30-40;None;Yes;LaNoche.com;9;110;9;0
Business;30-40;Netflix;No;Google;7;265;3.5;0
Business;30-40;Netflix;Yes;Google;7;109;7;0
Business;30-40;;Yes;Google;3;98;3;0
;;;Yes;LaNoche.com;7;315;3.5;0
Business;30-40;None;Yes;Google;2;339;2;0
Business;30-40;None;Yes;Direct Traffic;3;211;3;0
Business;30-40;Netflix;Yes;Direct Traffic;2;703;2;1
Business;30-40;;Yes;Google;13;408;6.5;0
Business;18-30;Spotify;Yes;LaNoche.com;11;366;3.67;0
Business;30-40;None;No;Google;5;106;5;0
Business;30-40;Netflix;Yes;Google;2;1099;2;1
;;;Yes;Google;11;306;11;0
;;;Yes;Google;9;290;3;0
Business;30-40;Netflix;Yes;Google;11;220;11;0
Business;18-30;Spotify;Yes;Google;8;235;8;1
;;;Yes;Direct Traffic;6;25;3;0
Business;30-40;Netflix;Yes;Google;7;463;3.5;0
Business;30-40;None;Yes;Direct Traffic;2;398;2;0
Business;30-40;None;Yes;Google;3;623;3;0
Business;30-40;Netflix;Yes;Google;4;281;4;0
Business;30-40;None;Yes;Direct Traffic;3;46;3;0
Business;18-30;None;Yes;Facebook;0;0;0;0
Business;18-30;Spotify;Yes;Google;9;1468;9;1
Business;30-40;None;No;Google;5;615;2.5;0
;;;Yes;Google;6;424;3;0
;;;Yes;Google;4;3;4;0
Business;30-40;;Yes;LaNoche.com;3;64;3;0
Business;18-30;Netflix;Yes;Direct Traffic;2;107;2;1
;;;Yes;LaNoche.com;3;150;1.5;0
Business;30-40;Netflix;Yes;Google;5;663;5;0
Law;18-30;Netflix;Yes;Google;0;0;0;1
Business;30-40;;Yes;Google;0;0;0;1
Law;18-30;Both;Yes;Google;0;0;0;1
Business;30-40;;Yes;Google;0;0;0;1
Business;40+;Netflix;Yes;Google;3;185;3;0
Business;30-40;;Yes;Direct Traffic;8;321;4;0
Business;30-40;Netflix;Yes;Google;4;1357;4;1
;;;Yes;Direct Traffic;4;1447;4;0
Business;18-30;Spotify;Yes;Google;1;990;1;1
;;;Yes;Google;2;44;2;0
;;;Yes;LaNoche.com;2;56;2;0
Business;30-40;None;Yes;Google;3;1412;3;0
;;;Yes;Google;2;374;1;0
Law;35-50;Spotify;Yes;Google;4;746;4;1
Business;30-40;;Yes;Google;0;0;0;1
;;;Yes;Google;2;175;2;0
;;;Yes;Direct Traffic;4;365;2;0
;;;Yes;Google;2;102;2;0
;;;Yes;LaNoche.com;4;248;2;0
;;;Yes;Google;6;351;6;0
Business;30-40;Netflix;Yes;Google;3;267;3;1
;;;Yes;Google;7;238;1.75;0
;;;Yes;Google;2;170;1;0
Business;30-40;;Yes;Google;22;59;5.5;0
Law;35-50;Both;Yes;Google;;205;;1
;;;Yes;Direct Traffic;7;150;7;0
Law;30-40;Netflix;Yes;Google;5;1250;5;1
;;;Yes;Google;5;255;2.5;0
;;;Yes;LaNoche.com;1;153;1;0
Business;18-30;Both;Yes;Google;0;0;0;1
;;;Yes;Facebook;0;0;0;0
;;;Yes;Google;3;217;3;0
;;;Yes;Facebook;0;0;0;0
Business;30-40;Spotify;Yes;Direct Traffic;2;2;2;0
;;;Yes;Facebook;0;0;0;0
;;;Yes;LaNoche.com;3;345;1.5;0
Business;18-30;Spotify;Yes;Google;0;0;0;1
Business;30-40;None;No;Direct Traffic;2;183;2;0
Business;30-40;None;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Google;9;181;3;0
Business;35-50;None;Yes;Google;3;677;1.5;0
;;;Yes;Google;2;134;2;0
;;;Yes;Direct Traffic;4;432;4;0
Business;40+;Netflix;Yes;Facebook;0;0;0;1
;;;Yes;LaNoche.com;4;396;2;0
;;;Yes;Google;4;163;4;0
Business;30-40;None;Yes;Facebook;0;0;0;0
Business;18-30;Spotify;Yes;Google;0;0;0;1
Law;35-50;Both;Yes;Direct Traffic;5;1491;2.5;1
;;;Yes;Direct Traffic;2;13;2;0
;;;Yes;LaNoche.com;5;133;5;0
Unemployed/other;30-40;None;Yes;Google;4;825;4;0
;;;Yes;Direct Traffic;4;217;4;0
Unemployed/other;40+;None;Yes;Facebook;0;0;0;0
Unemployed/other;30-40;Netflix;Yes;Google;3;110;3;0
;;;Yes;Google;2;100;2;0
Unemployed/other;30-40;Netflix;Yes;Direct Traffic;4;1385;4;1
;;;Yes;Google;5;442;5;0
;;;Yes;Google;4;1640;4;0
Law;30-40;;Yes;Google;3;578;3;1
;;;Yes;Google;3;23;3;0
Unemployed/other;30-40;;Yes;Google;0;0;0;1
;;;Yes;LaNoche.com;3;235;3;0
;;;Yes;Google;3;241;3;0
;;;Yes;Google;2;75;1;0
Unemployed/other;30-40;Netflix;Yes;Direct Traffic;4;439;4;0
;;;Yes;Google;2;1491;1;0
Unemployed/other;18-30;Spotify;Yes;Google;0;0;0;1
;;;Yes;Facebook;0;0;0;0
Unemployed/other;30-40;;Yes;Google;3;262;3;0
;;;Yes;Google;5;486;5;0
Unemployed/other;18-30;Spotify;Yes;Google;4;913;1.33;1
;;;Yes;Facebook;0;0;0;0
;;;Yes;Facebook;0;0;0;1
Unemployed/other;30-40;None;Yes;Google;4;92;2;0
;;;Yes;Google;7;333;7;0
Unemployed/other;30-40;;Yes;LaNoche.com;11;101;5.5;0
Unemployed/other;30-40;None;Yes;Direct Traffic;2;1429;2;0
Unemployed/other;30-40;None;Yes;Google;11;127;3.67;0
Unemployed/other;30-40;Netflix;Yes;Google;5;362;5;0
Unemployed/other;30-40;Netflix;Yes;Google;3;1132;3;0
;;;Yes;Facebook;0;0;0;0
;;;Yes;Google;2;125;2;0
;;;Yes;Direct Traffic;2;1012;2;1
Unemployed/other;30-40;;Yes;Direct Traffic;5;357;5;0
Unemployed/other;30-40;Netflix;Yes;Facebook;0;0;0;1
Unemployed/other;30-40;None;Yes;Google;3;232;3;0
Law;30-40;Netflix;Yes;Google;3;829;3;1
Unemployed/other;30-40;Spotify;Yes;Google;8;717;2.67;0
Unemployed/other;30-40;Netflix;Yes;Google;3;1208;3;1
Unemployed/other;30-40;;Yes;Direct Traffic;3;1577;1.5;0
;;;Yes;Google;7;185;7;0
;;;Yes;Google;2;127;1;0
;;;Yes;Google;6;283;6;0
;;;Yes;Google;6;361;3;0
;;;Yes;Google;2;394;2;0
Unemployed/other;30-40;;No;Google;4;347;4;0
Unemployed/other;30-40;Netflix;Yes;Google;7;133;3.5;0
Unemployed/other;40+;None;Yes;Google;2;151;2;0
Unemployed/other;18-30;Both;Yes;Direct Traffic;3;308;1.5;0
;;;Yes;Direct Traffic;7;1172;3.5;1
;;;Yes;Direct Traffic;2;178;2;0
Unemployed/other;18-30;Netflix;Yes;Google;3;1712;3;1
;;;Yes;Google;7;585;7;0
Unemployed/other;30-40;;Yes;Google;1;41;1;0
Law;30-40;;Yes;LaNoche.com;5;1342;5;1
;;;Yes;Facebook;0;0;0;0
Unemployed/other;30-40;Netflix;Yes;Google;9;1125;9;1
Unemployed/other;30-40;Netflix;Yes;Google;13;373;6.5;1
;;;Yes;Google;3;316;3;0
